Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
Consolation 11th,TAEkin it 2 da HOUSE,Loss,102.46 - 105.12,102.46,Steelers SIXcess,2019
Consolation Champ,SaquonDeezNuts,Loss,73.56 - 138.16,73.56,Dinero Pineiro,2019
Consolation Champ,Dinero Pineiro,Win,138.16 - 73.56,138.16,SaquonDeezNuts,2019
Consolation 9th,The Legion Of Zoom,Win,84.96 - 84.54,84.96,Da Bear Necessities,2019
Consolation 9th,Da Bear Necessities,Loss,84.54 - 84.96,84.54,The Legion Of Zoom,2019
1,MR. T's Cereal,Loss,74.04 - 124.96,74.04,Admiral Ackbar's Ass,2018
2,Daniel's Stormies,Loss,86.04 - 88.04,86.04,Admiral Ackbar's Ass,2018
3,Cousin's Familia,Loss,82.14 - 86.64,82.14,Admiral Ackbar's Ass,2018
4,Ridley Me That,Loss,44.34 - 104.52,44.34,Admiral Ackbar's Ass,2018
5,Show Me Your TD's,Loss,69.90 - 89.60,69.9,Admiral Ackbar's Ass,2018
6,Steelers SIXcess,Loss,72.52 - 134.10,72.52,Admiral Ackbar's Ass,2018
7,SUCK MY DITKA!!,Loss,96.80 - 98.96,96.8,Admiral Ackbar's Ass,2018
8,Suh Girls One Kupp,Loss,64.80 - 82.70,64.8,Admiral Ackbar's Ass,2018
9,A bunch of Jerry's,Win,93.18 - 87.36,93.18,Admiral Ackbar's Ass,2018
10,Gronkey Kong,Loss,120.14 - 151.32,120.14,Admiral Ackbar's Ass,2018
11,Thunder Horse,Loss,96.84 - 109.42,96.84,Admiral Ackbar's Ass,2018
12,MR. T's Cereal,Loss,117.42 - 121.56,117.42,Admiral Ackbar's Ass,2018
13,Daniel's Stormies,Loss,76.28 - 94.26,76.28,Admiral Ackbar's Ass,2018
1,Admiral Ackbar's Ass,Win,124.96 - 74.04,124.96,MR. T's Cereal,2018
2,Thunder Horse,Win,103.24 - 99.82,103.24,MR. T's Cereal,2018
3,Daniel's Stormies,Win,84.04 - 71.50,84.04,MR. T's Cereal,2018
4,Cousin's Familia,Loss,139.60 - 142.56,139.6,MR. T's Cereal,2018
5,Ridley Me That,Loss,71.96 - 83.94,71.96,MR. T's Cereal,2018
6,Show Me Your TD's,Win,105.88 - 73.38,105.88,MR. T's Cereal,2018
7,Steelers SIXcess,Loss,89.64 - 98.98,89.64,MR. T's Cereal,2018
8,SUCK MY DITKA!!,Loss,120.42 - 140.62,120.42,MR. T's Cereal,2018
9,Suh Girls One Kupp,Win,115.92 - 65.36,115.92,MR. T's Cereal,2018
10,A bunch of Jerry's,Win,110.62 - 96.66,110.62,MR. T's Cereal,2018
11,Gronkey Kong,Loss,110.64 - 125.86,110.64,MR. T's Cereal,2018
12,Admiral Ackbar's Ass,Win,121.56 - 117.42,121.56,MR. T's Cereal,2018
13,Thunder Horse,Loss,95.56 - 107.86,95.56,MR. T's Cereal,2018
1,Gronkey Kong,Win,107.82 - 103.90,107.82,Daniel's Stormies,2018
2,Admiral Ackbar's Ass,Win,88.04 - 86.04,88.04,Daniel's Stormies,2018
3,MR. T's Cereal,Loss,71.50 - 84.04,71.5,Daniel's Stormies,2018
4,Thunder Horse,Win,99.02 - 72.96,99.02,Daniel's Stormies,2018
5,Cousin's Familia,Win,103.04 - 93.00,103.04,Daniel's Stormies,2018
6,Ridley Me That,Loss,104.50 - 115.20,104.5,Daniel's Stormies,2018
7,Show Me Your TD's,Loss,84.60 - 103.46,84.6,Daniel's Stormies,2018
